season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,away_win_pct,away_ppg,away_opp_ppg
2019,REG,1,GB,10,CHI,3,-7,13,0,160,-178,3.5,-113,103,47.0,102,-113,0,,,,,,
2019,REG,1,KC,40,JAX,26,-14,66,0,-181,163,-3.5,-101,-110,49.0,102,-113,0,,,,,,
2019,REG,1,BAL,59,MIA,10,-49,69,0,-298,263,-7.0,102,-112,41.0,-105,-105,0,,,,,,
2019,REG,1,ATL,12,MIN,28,16,40,0,159,-176,3.5,-115,104,47.0,101,-112,1,,,,,,
2019,REG,1,BUF,17,NYJ,16,-1,33,0,135,-149,2.5,-101,-110,41.0,-110,-100,0,,,,,,
2019,REG,1,WAS,27,PHI,32,5,59,0,395,-463,10.5,-114,103,44.0,-103,-107,1,,,,,,
2019,REG,1,IND,24,LAC,30,6,54,1,235,-265,6.0,-107,-103,44.5,-112,101,1,,,,,,
2019,REG,1,CIN,20,SEA,21,1,41,0,344,-398,9.5,-115,104,44.0,-104,-106,1,,,,,,
2019,REG,1,DET,27,ARI,27,0,54,1,-147,133,-2.5,-121,108,45.5,-114,104,0,,,,,,
2019,REG,1,TEN,43,CLE,13,-30,56,0,206,-230,5.5,-113,103,44.0,-107,-103,0,,,,,,
2019,REG,1,NYG,17,DAL,35,18,52,0,271,-308,7.0,-111,100,44.0,-104,-106,1,,,,,,
2019,REG,1,SF,31,TB,17,-14,48,0,-102,-108,1.0,-106,-104,51.0,-100,-110,0,,,,,,
2019,REG,1,PIT,3,NE,33,30,36,0,203,-228,5.5,-111,101,49.0,-103,-107,1,,,,,,
2019,REG,1,HOU,28,NO,30,2,58,0,273,-310,6.5,103,-113,52.0,105,-116,1,,,,,,
2019,REG,1,DEN,16,OAK,24,8,40,0,-149,135,-3.0,108,-121,42.5,-110,-100,1,,,,,,
